iso3,classification,line_code,candidate_sources,first_historical_year,final_actual_year,first_forecast_year,final_strict_year,final_maximum_year,status,notes
FRA,ESA_REV,R10,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;INSEE_APU;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
DEU,COFOG,GF01,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
DEU,COFOG,GF01_7,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
DEU,COFOG,GF01_X,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
DEU,COFOG,GF02,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
DEU,COFOG,GF03,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
DEU,COFOG,GF04,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
DEU,COFOG,GF05,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
DEU,COFOG,GF06,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
DEU,COFOG,GF07,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
DEU,COFOG,GF08,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
DEU,COFOG,GF09,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
DEU,COFOG,GF10,EUROSTAT_GOV10A_EXP;DESTATIS_81000;IMF_GFS;OECD_T11;EC_AMECO,,,,,,awaiting_harvest,
DEU,ESA_REV,R01,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;DESTATIS_81000;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
DEU,ESA_REV,R02,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;DESTATIS_81000;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
DEU,ESA_REV,R03,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;DESTATIS_81000;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
DEU,ESA_REV,R04,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;DESTATIS_81000;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
DEU,ESA_REV,R05,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;DESTATIS_81000;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7 partial: other-taxes component partial
DEU,ESA_REV,R06,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;DESTATIS_81000;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7 partial: imputed component
DEU,ESA_REV,R07,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;DESTATIS_81000;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
DEU,ESA_REV,R08,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;DESTATIS_81000;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
DEU,ESA_REV,R09,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;DESTATIS_81000;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,
DEU,ESA_REV,R10,EUROSTAT_GOV10A_MAIN;EUROSTAT_GOV10A_TAXAG;DESTATIS_81000;IMF_GFS;OECD_RS;EC_AMECO,,,,,,awaiting_harvest,D7: no identified forecast source; declared at outset
