iso3,year,step,item,value_lcu_mn,item_type,item_source_id,basis,run_id,source_id,snapshot_sha256,quality_grade,notes
GBR,1989,C_s13_gf01_7,official_total,21000.87863834972,official,package_GF01_7,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1989,C_s13_gf01_7,residual,1053.8786383497209,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1990,register,sum_fixed_bullet,14567.422644301461,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1990,register,sum_inflation_linked,1904.9869499311249,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1990,register,official_total,16472.409594232588,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1990,A_cg_cash,carried_from_previous_step,16472.409594232588,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1990,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1990,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1990,B_s1311_d41,carried_from_previous_step,16472.409594232588,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1990,B_s1311_d41,official_total,20071.0,official,ONS_PSF_TIMESERIES,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1990,B_s1311_d41,residual,3598.5904057674124,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1990,C_s13_gf01_7,carried_from_previous_step,20071.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1990,C_s13_gf01_7,official_total,21241.665562913906,official,package_GF01_7,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1990,C_s13_gf01_7,residual,1170.665562913906,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1991,register,sum_fixed_bullet,14159.553649210106,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1991,register,sum_inflation_linked,1421.027442512021,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1991,register,official_total,15580.581091722126,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1991,A_cg_cash,carried_from_previous_step,15580.581091722126,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1991,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1991,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1991,B_s1311_d41,carried_from_previous_step,15580.581091722126,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1991,B_s1311_d41,official_total,18146.0,official,ONS_PSF_TIMESERIES,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1991,B_s1311_d41,residual,2565.418908277874,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1991,C_s13_gf01_7,carried_from_previous_step,18146.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1991,C_s13_gf01_7,official_total,19108.179409993976,official,package_GF01_7,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1991,C_s13_gf01_7,residual,962.1794099939762,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1992,register,sum_fixed_bullet,14046.342788188476,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1992,register,sum_inflation_linked,1271.2664901775324,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1992,register,official_total,15317.60927836601,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1992,A_cg_cash,carried_from_previous_step,15317.60927836601,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1992,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1992,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1992,B_s1311_d41,carried_from_previous_step,15317.60927836601,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1992,B_s1311_d41,official_total,18556.0,official,ONS_PSF_TIMESERIES,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1992,B_s1311_d41,residual,3238.3907216339903,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1992,C_s13_gf01_7,carried_from_previous_step,18556.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1992,C_s13_gf01_7,official_total,19261.501806140877,official,package_GF01_7,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1992,C_s13_gf01_7,residual,705.5018061408773,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1993,register,sum_fixed_bullet,14947.12174386809,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1993,register,sum_inflation_linked,693.8088232470144,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1993,register,official_total,15640.930567115105,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1993,A_cg_cash,carried_from_previous_step,15640.930567115105,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1993,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1993,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1993,B_s1311_d41,carried_from_previous_step,15640.930567115105,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1993,B_s1311_d41,official_total,19827.0,official,ONS_PSF_TIMESERIES,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1993,B_s1311_d41,residual,4186.069432884895,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1993,C_s13_gf01_7,carried_from_previous_step,19827.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1993,C_s13_gf01_7,official_total,20350.792293798917,official,package_GF01_7,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1993,C_s13_gf01_7,residual,523.792293798917,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1994,register,sum_fixed_bullet,15553.678400993349,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1994,register,sum_inflation_linked,1199.2238921097166,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1994,register,official_total,16752.902293103067,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1994,A_cg_cash,carried_from_previous_step,16752.902293103067,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1994,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1994,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1994,B_s1311_d41,carried_from_previous_step,16752.902293103067,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1994,B_s1311_d41,official_total,22658.0,official,ONS_PSF_TIMESERIES,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1994,B_s1311_d41,residual,5905.097706896933,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1994,C_s13_gf01_7,carried_from_previous_step,22658.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1994,C_s13_gf01_7,official_total,23224.835641180012,official,package_GF01_7,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1994,C_s13_gf01_7,residual,566.8356411800123,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1995,register,sum_fixed_bullet,16087.534995579363,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1995,register,sum_inflation_linked,1605.2506218156313,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1995,register,official_total,17692.785617394995,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1995,A_cg_cash,carried_from_previous_step,17692.785617394995,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1995,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1995,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1995,B_s1311_d41,carried_from_previous_step,17692.785617394995,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1995,B_s1311_d41,official_total,25899.0,official,ONS_PSF_TIMESERIES,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1995,B_s1311_d41,residual,8206.214382605005,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1995,C_s13_gf01_7,carried_from_previous_step,25899.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1995,C_s13_gf01_7,official_total,26632.0,official,package_GF01_7,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1995,C_s13_gf01_7,residual,733.0,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1996,register,sum_fixed_bullet,17182.70687681471,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1996,register,sum_inflation_linked,1262.828893055094,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1996,register,official_total,18445.535769869806,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1996,A_cg_cash,carried_from_previous_step,18445.535769869806,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1996,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1996,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1996,B_s1311_d41,carried_from_previous_step,18445.535769869806,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1996,B_s1311_d41,official_total,27402.0,official,ONS_PSF_TIMESERIES,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1996,B_s1311_d41,residual,8956.464230130194,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1996,C_s13_gf01_7,carried_from_previous_step,27402.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1996,C_s13_gf01_7,official_total,28333.0,official,package_GF01_7,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1996,C_s13_gf01_7,residual,931.0,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1997,register,sum_fixed_bullet,17607.54072658015,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1997,register,sum_inflation_linked,1399.2577389660626,computed,ggfiscal.debt.register,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,computed from the per-security register (debt_interest_by_security / debt_flows)
GBR,1997,register,official_total,19006.798465546213,computed,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1997,A_cg_cash,carried_from_previous_step,19006.798465546213,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1997,A_cg_cash,official_total,,official,HMT_NLF,accrued_nlf_finance_costs,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1997,A_cg_cash,residual,,residual,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1997,B_s1311_d41,carried_from_previous_step,19006.798465546213,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1997,B_s1311_d41,official_total,29335.0,official,ONS_PSF_TIMESERIES,accrued,20260910T102726Z,ggfiscal.debt.chains,,A,
GBR,1997,B_s1311_d41,residual,10328.201534453787,residual,,accrued,20260910T102726Z,ggfiscal.debt.chains,,B,
GBR,1997,C_s13_gf01_7,carried_from_previous_step,29335.0,computed,,,20260910T102726Z,ggfiscal.debt.chains,,B,
