scenario,label,year,gdp_bn,primary_balance_pct,spread_bp,oat_10y_pct,avg_new_yield_pct,mlt_avg_maturity_at_issue,redemptions_bn,net_issuance_bn,mlt_gross_issuance_bn,btf_stock,register_interest_bn,gg_interest_bn,gg_interest_pct_gdp,deficit_bn,deficit_pct_gdp,debt_bn,debt_pct_gdp,negotiable_stock_bn,avg_coupon_fixed_pct,coupon_fixed_bn,coupon_linker_bn,uplift_bn,bill_interest_bn,new_issue_interest_bn
philippe_majority,"Philippe, majority",2034,3874.9635877941387,0.5,45.0,3.85,3.747506625008748,10.578555866434186,282.6660058983051,108.09153110481705,390.75753700312214,215.0,134.0515701436334,147.22644634213347,3.7994278657452774,120.1017012275745,3.099427865745277,4633.938823598354,119.58664174793627,3948.458185572579,3.554951458162693,117.2606679296732,0.8621357311670224,3.0868091893366683,5.520125,7.321832293456506
philippe_majority,"Philippe, majority",2035,3991.212495427963,0.5,45.0,3.85,3.747506625008748,10.578555866434186,330.4360359330658,112.6252827491524,443.0613186822182,215.0,139.50756803815446,153.07769052260954,3.835368091725609,125.13920305461379,3.135368091725609,4759.078026652968,119.23890376933363,4063.9770454775658,3.5728570742932866,121.91386876043158,0.8202494435385508,2.951448698950695,5.520125,8.301876135233625
philippe_hung,"Philippe, hung Assembly",2026,3055.8,-2.7,85.0,4.25,4.109186785375475,10.578555866434186,60.738,43.543675831232974,108.1817921109471,215.0,67.27028,77.66,2.5413966882649386,156.2776959528027,5.114133645945503,3600.1172959528026,117.81259558717201,2981.5231427667472,2.2482911977414686,51.1910266118963,2.9419884175072,6.301098299816001,5.6822183625000005,2.2226959528027033
philippe_hung,"Philippe, hung Assembly",2027,3150.7,-2.5,85.0,4.25,4.109186785375475,10.578555866434186,212.6059326448,143.3828381983927,355.9887708431927,215.0,76.13578466488077,86.84816466488077,2.7564720431929657,159.31426466488077,5.056472043192966,3759.4315606176833,119.32051799973605,3131.2070792649565,2.5373188336375025,54.28194283257019,2.7426194170118423,6.147975650844211,5.649125,7.314121764454528
philippe_hung,"Philippe, hung Assembly",2028,3245.221,-2.2,80.0,4.2,4.063976765329633,10.578555866434186,251.060618719032,146.95985801845734,398.02047673748933,215.0,87.35055973161926,98.38431113161926,3.0316675237717017,163.28873113161927,5.031667523771702,3922.7202917493028,120.87683063031156,3283.95725889633,2.8724038473823006,65.6577236102441,2.4412610780766615,5.530845195365586,5.633,8.0877298479329
philippe_hung,"Philippe, hung Assembly",2029,3342.57763,-1.9,80.30558857185095,4.203055885718509,4.066739898421465,10.578555866434186,300.7507269433873,150.09393200569295,450.84465894908027,215.0,98.58245190988103,109.94721585188103,3.2892943118236873,166.77103556188104,4.989294311823688,4089.491327311184,122.3454405548446,3439.508451224877,3.1140356169136845,76.6902345672508,2.2122405123238256,4.878651494469957,5.633985523144219,9.167339812692214
philippe_hung,"Philippe, hung Assembly",2030,3442.8549589000004,-1.6,75.93023851255307,4.159302385125531,4.02717796564378,10.578555866434186,250.26808996352764,153.1107814653074,403.37887142883505,215.0,110.21741423214822,121.92312109240822,3.5413377138420876,170.12309051700822,4.941337713842088,4259.614417828192,123.72331883505043,3597.2071539658455,3.304529089142484,90.15876190336171,1.852770412275759,4.463614383185467,5.619875019202984,8.1223925141223
philippe_hung,"Philippe, hung Assembly",2031,3546.1406076670005,-1.3,76.88339152075315,4.168833915207531,4.0357963789652755,10.578555866434186,283.9159466102866,155.65168798411437,439.567634594401,215.0,121.88189523194451,133.9387732980123,3.7770293994667736,172.9463199823493,4.877029399466774,4432.5607378105415,124.99675642378757,3757.045622644471,3.5026361387871625,101.50427856650857,1.7825737120303489,4.102066675719068,5.622948937654429,8.870027340032076
philippe_hung,"Philippe, hung Assembly",2032,3652.5248258970105,-1.0,78.16843271496461,4.181684327149646,4.047415726595283,10.578555866434186,317.2061355404378,158.38824471358714,475.59438025402494,215.0,134.34815555542644,146.76673996347628,4.01822703360907,175.98693857065237,4.8182270336090705,4608.547676381194,126.1743012314611,3919.320107941904,3.627398464676549,114.21826387552917,1.3931210810048773,3.485036532784236,5.627093195505761,9.624640870602388
philippe_hung,"Philippe, hung Assembly",2033,3762.100570673921,-0.9,79.48637339954207,4.194863733995421,4.059332551549078,10.578555866434186,270.9966371255531,164.09875328869097,435.09539041424404,215.0,143.20610216353674,155.99724410382808,4.146546355508078,182.33194809854552,4.846546355508077,4790.8796244797395,127.34586793945088,4086.5307647628865,3.685899955628373,124.68004406551565,0.8895885341815731,3.174141602938506,5.631343554213523,8.830984406687477
