iso3,series_variant,year,line_code,contribution_pp,kind,notes
GBR,strict,2002,R09,0.1027855509154546,revenue,nan
GBR,strict,2002,R10,0.02415458867164207,revenue,nan
GBR,strict,2002,GF01,0.12158628508945751,expenditure,nan
GBR,strict,2002,GF02,-0.0873153156712516,expenditure,nan
GBR,strict,2002,GF03,-0.09448800964815991,expenditure,nan
GBR,strict,2002,GF04,-0.15376474269098786,expenditure,nan
GBR,strict,2002,GF05,-0.05030003388452947,expenditure,nan
GBR,strict,2002,GF06,-0.031076352267029716,expenditure,nan
GBR,strict,2002,GF07,-0.3399636697608448,expenditure,nan
GBR,strict,2002,GF08,-0.036160588584356786,expenditure,nan
GBR,strict,2002,GF09,-0.45234321887222884,expenditure,nan
GBR,strict,2002,GF10,-0.3264403392048365,expenditure,nan
GBR,strict,2002,NLB_CHANGE_SUM,-2.2849961098807037,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2002,ANCHOR_B9_DELTA,0.0,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2002,WEO_GGXCNL_DELTA,-2.2849961098807037,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2003,R01,0.1782703817393344,revenue,nan
GBR,strict,2003,R02,-0.3056667525821427,revenue,nan
GBR,strict,2003,R03,-0.20416655704046383,revenue,nan
GBR,strict,2003,R04,-0.09876828967667547,revenue,nan
GBR,strict,2003,R05,0.08941464193290977,revenue,nan
GBR,strict,2003,R06,0.3751695046465012,revenue,nan
GBR,strict,2003,R07,-0.0174819410560799,revenue,nan
GBR,strict,2003,R08,-0.07391345535122766,revenue,nan
GBR,strict,2003,R09,0.03756265969163258,revenue,nan
GBR,strict,2003,R10,0.005977702806147156,revenue,nan
GBR,strict,2003,GF01,0.14410851377783737,expenditure,nan
GBR,strict,2003,GF02,-0.10320751210868145,expenditure,nan
GBR,strict,2003,GF03,-0.04820992978020154,expenditure,nan
GBR,strict,2003,GF04,-0.10706039452721625,expenditure,nan
GBR,strict,2003,GF05,-0.03697262160024502,expenditure,nan
GBR,strict,2003,GF06,-0.2258981651274839,expenditure,nan
GBR,strict,2003,GF07,-0.25429869144461337,expenditure,nan
GBR,strict,2003,GF08,-0.025671797924265924,expenditure,nan
GBR,strict,2003,GF09,-0.12320773164503432,expenditure,nan
GBR,strict,2003,GF10,-0.4537147694378463,expenditure,nan
GBR,strict,2003,NLB_CHANGE_SUM,-1.2477352047078152,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2003,ANCHOR_B9_DELTA,0.0,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2003,WEO_GGXCNL_DELTA,-1.2477352047078152,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2004,R01,0.01969079944028132,revenue,nan
GBR,strict,2004,R02,0.0075664351160513454,revenue,nan
GBR,strict,2004,R03,0.1639803358722658,revenue,nan
GBR,strict,2004,R04,0.3794498987191274,revenue,nan
GBR,strict,2004,R05,0.05634360874372177,revenue,nan
GBR,strict,2004,R06,0.3759170171921969,revenue,nan
GBR,strict,2004,R07,0.0022795145525351685,revenue,nan
GBR,strict,2004,R08,-0.029900494661511904,revenue,nan
GBR,strict,2004,R09,0.3404331864693275,revenue,nan
GBR,strict,2004,R10,-0.017927350851144518,revenue,nan
GBR,strict,2004,GF01,-0.30462435671620436,expenditure,nan
GBR,strict,2004,GF02,-0.07701697957692641,expenditure,nan
GBR,strict,2004,GF03,-0.16596828983566936,expenditure,nan
GBR,strict,2004,GF04,-0.07947488548055957,expenditure,nan
GBR,strict,2004,GF05,0.01196108487245091,expenditure,nan
GBR,strict,2004,GF06,0.02476311029962451,expenditure,nan
GBR,strict,2004,GF07,-0.366209641819433,expenditure,nan
GBR,strict,2004,GF08,0.05224486885130053,expenditure,nan
GBR,strict,2004,GF09,-0.02927496451727782,expenditure,nan
GBR,strict,2004,GF10,-0.31387583154190435,expenditure,nan
GBR,strict,2004,NLB_CHANGE_SUM,0.050357065128251666,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2004,ANCHOR_B9_DELTA,-8.326672684688674e-17,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2004,WEO_GGXCNL_DELTA,0.05035706512825158,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2005,R01,-0.19786531852107117,revenue,nan
GBR,strict,2005,R02,-0.18704392519279453,revenue,nan
GBR,strict,2005,R03,0.24310090060240264,revenue,nan
GBR,strict,2005,R04,0.4850489099604796,revenue,nan
GBR,strict,2005,R05,-0.0008184433265202851,revenue,nan
GBR,strict,2005,R06,0.14633593499904785,revenue,nan
GBR,strict,2005,R07,-0.010746541910554037,revenue,nan
GBR,strict,2005,R08,-0.003131424662282823,revenue,nan
GBR,strict,2005,R09,0.18433134783606836,revenue,nan
GBR,strict,2005,R10,0.5266717878421364,revenue,nan
GBR,strict,2005,GF01,-0.2945556026030367,expenditure,nan
GBR,strict,2005,GF02,0.07417231790483349,expenditure,nan
GBR,strict,2005,GF03,0.00821144436626113,expenditure,nan
GBR,strict,2005,GF04,-0.012962195413239452,expenditure,nan
GBR,strict,2005,GF05,-0.6830494830941776,expenditure,nan
GBR,strict,2005,GF06,-0.07150416000956603,expenditure,nan
GBR,strict,2005,GF07,-0.13038072035069168,expenditure,nan
GBR,strict,2005,GF08,-0.027611988636166464,expenditure,nan
GBR,strict,2005,GF09,-0.15017603116101313,expenditure,nan
