iso3,security_id,date,reference_index,index_ratio,ratio_source,run_id,source_id,snapshot_sha256,quality_grade,notes
DEU,DE0001030500,2006-04-13,100.736,0.99854,office,20260909T233137Z,DEU_FINANZAGENTUR,83b2c0cd58c43e616dcc35d0ebf59a29d714adf552ba80544d22b1544d7dc5ed,A,"index_ratios_2005: daily reference index on that file's HICP base year; the ratios are continuous across the files, the reference index rebases"
DEU,DE0001030500,2006-04-14,100.74567,0.99864,office,20260909T233137Z,DEU_FINANZAGENTUR,83b2c0cd58c43e616dcc35d0ebf59a29d714adf552ba80544d22b1544d7dc5ed,A,"index_ratios_2005: daily reference index on that file's HICP base year; the ratios are continuous across the files, the reference index rebases"
DEU,DE0001030500,2006-04-15,100.75533,0.99873,office,20260909T233137Z,DEU_FINANZAGENTUR,83b2c0cd58c43e616dcc35d0ebf59a29d714adf552ba80544d22b1544d7dc5ed,A,"index_ratios_2005: daily reference index on that file's HICP base year; the ratios are continuous across the files, the reference index rebases"
DEU,DE0001030500,2006-04-16,100.765,0.99883,office,20260909T233137Z,DEU_FINANZAGENTUR,83b2c0cd58c43e616dcc35d0ebf59a29d714adf552ba80544d22b1544d7dc5ed,A,"index_ratios_2005: daily reference index on that file's HICP base year; the ratios are continuous across the files, the reference index rebases"
DEU,DE0001030500,2006-04-17,100.77467,0.99892,office,20260909T233137Z,DEU_FINANZAGENTUR,83b2c0cd58c43e616dcc35d0ebf59a29d714adf552ba80544d22b1544d7dc5ed,A,"index_ratios_2005: daily reference index on that file's HICP base year; the ratios are continuous across the files, the reference index rebases"
DEU,DE0001030500,2006-04-18,100.78433,0.99902,office,20260909T233137Z,DEU_FINANZAGENTUR,83b2c0cd58c43e616dcc35d0ebf59a29d714adf552ba80544d22b1544d7dc5ed,A,"index_ratios_2005: daily reference index on that file's HICP base year; the ratios are continuous across the files, the reference index rebases"
DEU,DE0001030500,2006-04-19,100.794,0.99912,office,20260909T233137Z,DEU_FINANZAGENTUR,83b2c0cd58c43e616dcc35d0ebf59a29d714adf552ba80544d22b1544d7dc5ed,A,"index_ratios_2005: daily reference index on that file's HICP base year; the ratios are continuous across the files, the reference index rebases"
DEU,DE0001030500,2006-04-20,100.80367,0.99921,office,20260909T233137Z,DEU_FINANZAGENTUR,83b2c0cd58c43e616dcc35d0ebf59a29d714adf552ba80544d22b1544d7dc5ed,A,"index_ratios_2005: daily reference index on that file's HICP base year; the ratios are continuous across the files, the reference index rebases"
DEU,DE0001030500,2006-04-21,100.81333,0.99931,office,20260909T233137Z,DEU_FINANZAGENTUR,83b2c0cd58c43e616dcc35d0ebf59a29d714adf552ba80544d22b1544d7dc5ed,A,"index_ratios_2005: daily reference index on that file's HICP base year; the ratios are continuous across the files, the reference index rebases"
DEU,DE0001030500,2006-04-22,100.823,0.9994,office,20260909T233137Z,DEU_FINANZAGENTUR,83b2c0cd58c43e616dcc35d0ebf59a29d714adf552ba80544d22b1544d7dc5ed,A,"index_ratios_2005: daily reference index on that file's HICP base year; the ratios are continuous across the files, the reference index rebases"
