iso3,series_variant,weo_vintage,source_vintage_set_hash,base_year,horizon_year,side,residual_kind,contribution_pp
DEU,strict,2025-10,9b805ef685ff,2024,2027,revenue,resid_coverage,-0.5393348402350213
DEU,strict,2025-10,9b805ef685ff,2024,2027,revenue,resid_disagreement,-0.42140296139006606
DEU,strict,2025-10,9b805ef685ff,2024,2027,expenditure,resid_coverage,-2.9632186423853413
DEU,strict,2025-10,9b805ef685ff,2024,2027,expenditure,resid_disagreement,0.44572041875841073
DEU,strict,2025-10,9b805ef685ff,2024,2028,revenue,resid_total,1.0236575889409378
DEU,strict,2025-10,9b805ef685ff,2024,2028,expenditure,resid_total,-2.5361193765612824
DEU,strict,2025-10,9b805ef685ff,2024,2029,revenue,resid_total,0.9728251246423012
DEU,strict,2025-10,9b805ef685ff,2024,2029,expenditure,resid_total,-2.6230804988376692
DEU,strict,2025-10,9b805ef685ff,2024,2030,revenue,resid_total,0.8782582012618974
DEU,strict,2025-10,9b805ef685ff,2024,2030,expenditure,resid_total,-2.6905982974429365
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2025,revenue,resid_coverage,0.014142319780972912
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2025,revenue,resid_disagreement,0.042841683553285215
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2025,expenditure,resid_coverage,0.0015572840417366063
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2025,expenditure,resid_disagreement,0.10014515655172307
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2026,revenue,resid_coverage,-0.3866607612476083
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2026,revenue,resid_disagreement,-0.2745297505994615
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2026,expenditure,resid_coverage,-0.7838020345196905
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2026,expenditure,resid_disagreement,0.5910026492976892
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2027,revenue,resid_coverage,-0.5393348402350213
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2027,revenue,resid_disagreement,-0.42140296139006606
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2027,expenditure,resid_coverage,-0.8111400757455072
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2027,expenditure,resid_disagreement,0.44572041875841073
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2028,revenue,resid_total,1.0236575889409378
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2028,expenditure,resid_total,-1.3619384865036965
