run_id,iso3,year,chain,step,value_lcu_mn,item_source_id,basis,period_basis,period_conversion_method,snapshot_sha256,quality_grade,notes
20260909T180316Z,DEU,2007,financing,B_s1311_b9,-14565.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2007,financing,C_s13_nlb,3937.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2008,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2008,financing,B_s1311_b9,-14237.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2008,financing,C_s13_nlb,-6809.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2009,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2009,financing,B_s1311_b9,-37321.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2009,financing,C_s13_nlb,-79207.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2010,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2010,financing,B_s1311_b9,-87612.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2010,financing,C_s13_nlb,-115620.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2011,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2011,financing,B_s1311_b9,-25697.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2011,financing,C_s13_nlb,-23074.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2012,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2012,financing,B_s1311_b9,-16102.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2012,financing,C_s13_nlb,-1521.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2013,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
