iso3,as_of,instrument_class,bucket,nominal_lcu_mn,nominal_uplifted_lcu_mn,market_hands_lcu_mn,n_securities,weighted_residual_years,run_id,source_id,snapshot_sha256,quality_grade,notes
DEU,2002-12-31,fixed_bullet,7-10,139000.0,,,6,8.35087822965447,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,fixed_bullet,10-15,4090.33505155,,,2,13.501711156775595,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,fixed_bullet,20-30,72890.43168518,,,6,25.39420013069095,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,floating,1-2,5112.918812100001,,,1,1.7221081451060918,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,other,0-1,7589.92586889,,,37,0.3088274815052379,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,other,1-2,4050.95164971,,,25,1.263823764629833,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,other,2-3,925.03353286,,,13,2.447700339230548,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,other,3-5,4693.8561345,,,23,3.8171622305735577,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2002-12-31,other,5-7,2537.25769661,,,20,5.539522968816449,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,bill,0-1,36000.0,,,6,0.25233858088067534,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,fixed_bullet,0-1,80725.83762635,,,10,0.5913807360506738,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,fixed_bullet,1-2,100143.63723053,,,10,1.4793063242156395,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,fixed_bullet,2-3,54075.885943019995,,,5,2.2582957787509312,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,fixed_bullet,3-5,148513.11208202998,,,10,3.881121410426545,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,fixed_bullet,5-7,85000.0,,,5,5.7806015219229385,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,fixed_bullet,7-10,145000.0,,,6,8.254922230876348,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,fixed_bullet,10-15,12090.33505155,,,3,10.854748780695282,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,fixed_bullet,20-30,72890.43168518,,,6,24.394884593387733,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,fixed_bullet,30+,10000.0,,,1,30.507871321013006,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,floating,0-1,5112.918812100001,,,1,0.7227926078028748,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,other,0-1,4634.4515437,,,37,0.30199822478819555,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,other,1-2,1312.73045339,,,26,1.4887186393481302,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,other,2-3,2725.88723483,,,11,2.389810934134011,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,other,3-5,4125.209271,,,25,3.9602162258383635,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2003-12-31,other,5-7,1501.46022251,,,17,5.482727359087799,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,bill,0-1,36000.0,,,6,0.24686287930641113,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,fixed_bullet,0-1,105143.63723053,,,10,0.5001261623156853,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,fixed_bullet,1-2,108075.88594302,,,9,1.3962181417246857,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,fixed_bullet,2-3,68677.51287351,,,4,2.330510829764982,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,fixed_bullet,3-5,160835.59920852,,,11,3.8955989381892726,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,fixed_bullet,5-7,87000.0,,,4,5.8007505487502655,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,fixed_bullet,7-10,147000.0,,,6,8.239552631456416,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,fixed_bullet,10-15,12090.33505155,,,3,10.51392804367202,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,fixed_bullet,15-20,10225.837624959999,,,1,19.00889801505818,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,fixed_bullet,20-30,82664.59406022,,,6,25.41412128013695,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,other,0-1,1975.938790600821,,,38,0.49885725365207984,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,other,1-2,2917.9586006251557,,,23,1.3938084854746589,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,other,2-3,1851.9752533410713,,,12,2.4267892194649994,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,other,3-5,3490.487580319853,,,25,3.7595849139055812,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2004-12-31,other,5-7,1902.44908547,,,19,5.68623094185738,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,bill,0-1,36000.0,,,6,0.24731918777093315,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,fixed_bullet,0-1,116000.0,,,9,0.4294944416908589,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,fixed_bullet,1-2,119000.0,,,8,1.4142379744505607,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,fixed_bullet,2-3,80250.0,,,6,2.351447073548822,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,fixed_bullet,3-5,160218.25396825396,,,10,3.896413966429542,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,fixed_bullet,5-7,99250.0,,,4,5.789223419313571,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,fixed_bullet,7-10,139000.0,,,6,8.239000585978854,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,fixed_bullet,10-15,12500.0,,,3,10.190280629705683,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2005-12-31,fixed_bullet,15-20,10250.0,,,1,18.00958247775496,20260910T000226Z,ggfiscal.debt.maturity,,A,
